Language,Consonant Inventories,Vowel Quality Inventories,Consonant-Vowel Ratio,Voicing in Plosives and Fricatives,Voicing and Gaps in Plosive Systems,Uvular Consonants,Glottalized Consonants,Lateral Consonants,The Velar Nasal,Vowel Nasalization,Nasal Vowels in West Africa,1Consonant Inventories,1Vowel Quality Inventories,1Consonant-Vowel Ratio,1Voicing in Plosives and Fricatives,1Voicing and Gaps in Plosive Systems,1Uvular Consonants,1Glottalized Consonants,1Lateral Consonants,1The Velar Nasal,Fusion of Selected Inflectional Formatives,2Consonant Inventories,Exponence of Tense-Aspect-Mood Inflection,2Vowel Quality Inventories,2Consonant-Vowel Ratio,2Voicing in Plosives and Fricatives,2Voicing and Gaps in Plosive Systems,Zero Marking of A and P Arguments,2Uvular Consonants,2Glottalized Consonants,2Lateral Consonants,2The Velar Nasal,Number of Genders,3Consonant Inventories,3Vowel Quality Inventories,3Consonant-Vowel Ratio,3Voicing in Plosives and Fricatives,3Voicing and Gaps in Plosive Systems,3Uvular Consonants,3Glottalized Consonants,3Lateral Consonants,3The Velar Nasal,Inclusive/Exclusive Forms in Pama-Nyungan,Inclusive/Exclusive Distinction in Verbal Inflection,4Consonant Inventories,4Vowel Quality Inventories,4Consonant-Vowel Ratio,4Voicing in Plosives and Fricatives,4Voicing and Gaps in Plosive Systems,4Uvular Consonants,4Glottalized Consonants,4Lateral Consonants,4The Velar Nasal,Asymmetrical Case-Marking,5Consonant Inventories,5Vowel Quality Inventories,5Consonant-Vowel Ratio,5Voicing in Plosives and Fricatives,5Voicing and Gaps in Plosive Systems,5Uvular Consonants,5Glottalized Consonants,5Lateral Consonants,Number of Possessive Nouns,5The Velar Nasal,"Genitives,6Consonant Inventories,6Vowel Quality Inventories,6Consonant-Vowel Ratio,6Voicing in Plosives and Fricatives,6Voicing and Gaps in Plosive Systems,6Uvular Consonants,6Glottalized Consonants,6Lateral Consonants,6The Velar Nasal,The Morphological Imperative,7Consonant Inventories,7Vowel Quality Inventories,7Consonant-Vowel Ratio,7Voicing in Plosives and Fricatives,7Voicing and Gaps in Plosive Systems,7Uvular Consonants,7Glottalized Consonants,7Lateral Consonants,7The Velar Nasal,Suppletion in Imperatives and Hortatives,Verbal Number and Suppletion,8Consonant Inventories,"Languages with two Dominant Orders of Subject,8Vowel Quality Inventories,8Consonant-Vowel Ratio,8Voicing in Plosives and Fricatives,8Voicing and Gaps in Plosive Systems,8Uvular Consonants,8Glottalized Consonants,8Lateral Consonants,8The Velar Nasal,Order of Relative Clause and Noun,Prenominal relative clauses,Postnominal relative clauses,Internally-headed relative clauses,Correlative relative clauses,Adjoined relative clauses,Double-headed relative clauses,9Consonant Inventories,9Vowel Quality Inventories,9Consonant-Vowel Ratio,9Voicing in Plosives and Fricatives,9Voicing and Gaps in Plosive Systems,9Uvular Consonants,9Glottalized Consonants,9Lateral Consonants,9The Velar Nasal,Alignment of Verbal Person Marking,10Consonant Inventories,10Vowel Quality Inventories,10Consonant-Vowel Ratio,10Voicing in Plosives and Fricatives,10Voicing and Gaps in Plosive Systems,10Uvular Consonants,10Glottalized Consonants,10Lateral Consonants,Productivity of the Antipassive Construction,10The Velar Nasal,Other Roles of Applied Objects,1Vowel Nasalization,11Consonant Inventories,11Vowel Quality Inventories,11Consonant-Vowel Ratio,11Voicing in Plosives and Fricatives,11Voicing and Gaps in Plosive Systems,11Uvular Consonants,11Glottalized Consonants,11Lateral Consonants,11The Velar Nasal,1Fusion of Selected Inflectional Formatives,12Consonant Inventories,12Vowel Quality Inventories,12Consonant-Vowel Ratio,12Voicing in Plosives and Fricatives,12Voicing and Gaps in Plosive Systems,12Uvular Consonants,12Glottalized Consonants,12Lateral Consonants,12The Velar Nasal,1Number of Genders,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',13Consonant Inventories,13Vowel Quality Inventories,13Consonant-Vowel Ratio,13Voicing in Plosives and Fricatives,13Voicing and Gaps in Plosive Systems,13Uvular Consonants,M in First Person Singular,13Glottalized Consonants,M in Second Person Singular,13Lateral Consonants,13The Velar Nasal,1Inclusive/Exclusive Distinction in Verbal Inflection,14Consonant Inventories,14Vowel Quality Inventories,14Consonant-Vowel Ratio,Obligatory Double Negation,Optional Double Negation,Optional Triple Negation,Preverbal Negative Morphemes,Postverbal Negative Morphemes,Minor morphological means of signaling negation,14Voicing in Plosives and Fricatives,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Languages with different word order in negative clauses,The Position of Negative Morphemes in SVO Languages,Multiple Negative Constructions in SVO Languages,Obligatory Double Negation in SVO languages,Optional Double Negation in SVO languages,NegSVO Order,SNegVO Order,SVNegO Order,SVONeg Order,The Position of Negative Morphemes in SOV Languages,Multiple Negative Constructions in SOV Languages,Obligatory Double Negation in SOV languages,Optional Double Negation in SOV languages,NegSOV Order,SNegOV Order,SONegV Order,SOVNeg Order,The Position of Negative Morphemes in Verb-Initial Languages,Double negation in verb-initial languages,Verb-Initial with Preverbal Negative,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Verb-Initial with Clause-Final Negative,The Position of Negative Morphemes in Object-Initial Languages
Basque Sakana,,,,,,,,,,,,,,,2,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Zeberio,,,,,,,,,,,,,,,1,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brao,3,3,3,1,1,1,3,2,,,,1,3,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,2,2,2,2,2,,,,,,,,,2,2,,4,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Bariba,2,3,2,4,2,1,1,2,,,,1,,3,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borunca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baadi,2,1,3,1,1,1,1,2,,,,1,3,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breton,3,3,3,4,2,1,1,2,,,,2,3,1,6,8,1,,1,1,,,,,,,,,3,,,,,,,2,,,,1,1,,,,,,,,2,,,,,,7,1,7,,,,2,,,,,,,1,,,,,,2,1,,,,,,,1,1,,,,2,,2,2,,2,2,2,2,1,1,,1,,,,,3,1,1,1,4,4,4,,,,2,,,,,,,,,,,,,6,,,,1,1,2,2,1,1,,,,,,,,2,2,,,,,,,,,,,2,,,,,14,13,,,1,1,4,18,,,14,,12,,4,5,5,4,,,,,,,,,,,,,,
Riff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,6,,,,1,2,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,2,1,2,2,2,2,1,1,,1,,,,,,1,1,1,4,4,4,,,,2,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Brahui,3,2,4,4,2,1,1,2,3,2,,1,3,1,,,,,1,1,1,1,2,2,2,2,2,2,2,,4,3,1,1,1,2,6,4,2,,,3,,3,,,4,6,1,3,1,2,8,2,1,2,5,2,1,1,2,2,1,1,,,,,1,1,1,2,3,2,1,,4,2,1,2,3,1,1,1,5,1,,,,,,1,,1,1,,1,,1,,,,,,,2,,,5,,2,2,2,2,2,3,1,,,2,3,4,8,5,,2,1,3,3,1,,,,,,,4,,,2,1,1,1,,,,1,,,,,,,,,,,,,,4,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
Bribri,2,2,3,4,2,1,1,1,3,,,1,,,,,,,1,1,,,,,4,4,5,2,2,,1,1,,,,2,,4,,,,5,,1,,,,6,1,,,2,9,3,9,,,,,,4,,,,,,,1,,,,,,2,,4,,,,2,,,,,,,1,,1,1,5,1,1,2,2,2,,,,,,,,3,,,,1,,2,4,4,1,,1,1,1,,,2,,,,,,,2,,,,,4,3,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,4,4,21,,,,,,,,,,,14,,,,,,,11,,,,,,
Burji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baragaon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,2,1,2,2,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,,,,,,,,,5,,,,4,4,2,11,,,,,,
Burmese,4,3,3,4,2,1,1,2,1,2,,1,2,3,,,,,1,5,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,7,,2,1,5,5,2,,1,2,,1,3,4,,1,2,7,2,1,,8,4,3,3,,2,1,1,3,2,5,2,,2,4,2,2,2,5,2,4,2,3,3,2,1,1,4,5,1,1,,1,1,6,1,1,2,1,2,2,1,,,,,,1,6,2,4,1,1,2,2,2,1,5,1,1,1,2,1,2,3,4,8,5,2,4,6,2,3,1,2,1,1,1,2,1,4,4,1,,,,,,,,1,,,,,1,1,1,1,3,,,,,14,3,,,2,1,4,18,4,,,,,,,,,,16,,5,,4,4,6,5,,,,,,
Burunge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,3,4,,,,,,,4,,,,2,,,,,,,,,2,,,,6,5,,,,,,,,2,,,,,,,,,,,,,2,,1,2,6,4,2,2,4,2,1,,1,,,,,2,6,2,,5,4,4,,,2,4,2,2,1,,,2,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,20,,,6,,,,4,8,2,4,,,,,,,,,,,,,,
Torres Strait Creole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Warapu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,9,,,,1,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,5,,2,2,2,2,1,,1,,,,,2,1,2,,,2,2,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,6,2,,,,,,,,,,2,,,,4,1,8,11,,,,,,
brq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bororo,1,3,1,2,2,1,1,1,3,,,1,1,1,,,,,3,1,,5,6,3,1,1,5,2,3,,,,,,,,,,,,,,,,,,,6,,,,4,,,1,,,,,,1,2,1,3,,,,,,,,,,2,5,4,4,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,1,,,,,,,2,2,5,3,2,,,1,,,,,,2,1,3,3,,,3,1,1,2,,,,,,,,,,,,,,,,,1,2,1,1,,,,,,4,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
Barasano (Southern),,,,,,,,,3,1,,,,,,,,,,,1,1,1,3,3,1,5,2,2,3,1,3,3,2,2,2,6,8,3,,,5,,1,3,1,3,3,1,,,2,2,2,1,1,1,,,,4,1,1,2,,,1,,,2,2,2,4,2,4,1,1,2,2,3,3,3,3,4,5,2,7,,3,1,4,1,1,3,1,1,1,,1,,,,,,6,1,4,1,2,5,2,2,2,2,2,6,1,3,,2,3,4,8,5,,2,1,1,7,4,2,,3,2,1,,4,4,,3,3,3,1,2,2,,6,,,,,1,1,1,2,,,,,,4,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
Bru/Vankieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Bru,3,3,1,2,4,1,1,2,,,,1,3,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baruya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,1,1,2,2,2,,,,,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bviri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamazight (Oum Jeniba),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,,2,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,2,,2,,2,2,,1,,1,,,,,2,6,2,1,4,4,4,,,,2,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,5,,,,4,2,7,4,,,,,,,,,,,,,,
Siwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bashkir,4,3,3,4,2,4,1,2,2,,,2,3,1,7,8,1,5,1,5,,,,,,,,,2,,,,,,,2,,,1,5,5,,,,,,,,,1,,,,,1,,4,4,,2,2,,,,,,,,,,,,,2,1,1,1,2,,,,,,,,,,,1,1,,1,1,1,1,1,2,1,,,,,,1,,,1,1,1,1,,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,4,2,4,20,,,,,,,,,,,21,,,,,,,,,,,,,
British Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bislama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Souletin,,,,,,,,,,,,,,,1,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque central,3,2,4,2,2,1,1,2,3,2,,1,3,1,,,,,1,1,1,1,1,3,3,2,5,2,4,1,2,3,1,1,1,8,6,4,3,1,2,3,,3,3,1,2,6,2,1,2,2,8,6,6,2,6,4,1,1,4,2,1,1,6,2,1,1,1,1,1,1,3,4,1,1,4,2,1,2,1,2,4,1,5,1,1,,1,1,3,1,1,2,2,1,2,1,,,,,,1,4,2,2,1,1,2,6,6,3,2,5,2,3,1,2,1,2,2,8,5,2,2,2,2,3,1,1,5,2,1,1,4,4,5,,3,2,2,1,2,2,,2,,,,,1,1,1,1,1,,,,,1,,,,1,4,4,7,3,,,,,,,,,,3,,,,4,4,1,11,,,,,,
Oniyan,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,,1,,1,,,,,,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botahari,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,6,1,,1,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,20,,,,,,,,,,,6,,,,4,4,8,2,,,,,,
Bontok (Central),,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,7,3,3,2,,2,2,3,,1,1,,1,,,,,,1,1,1,4,4,5,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,3,1,,,,1,4,4,21,,,13,26,,,,,7,4,,,,,,,,,19,,1,6,4,
Toba Batak,2,2,3,2,2,1,1,2,,,,1,,1,6,8,1,1,1,1,,,,,,,,,4,,,,,,,7,,,,5,5,,,,,,,,2,,,,,,9,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,2,2,1,2,2,2,2,3,1,,1,,,,,1,,2,1,4,4,4,,,,,,,,,,,,,,,,,2,,,,,3,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,12,3,,,,,,,,,,,,,,,,,,4,,1,6,4,
Burarra,2,2,3,1,1,1,1,2,,,,1,3,1,2,8,1,5,3,1,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,1,,1,,3,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,21,,,,,,,,,,,14,,,,,,,11,,,,,,
Bubi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,,2,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buduma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,6,,,,,,,,,,,,,2,,,,,9,,,,,,2,,,,,,,,2,,,,,1,1,3,,,,,,,,,,,2,,1,2,1,2,2,2,2,2,1,,1,,,,,2,2,2,2,4,4,4,,,,6,,,,,,,,,,,,,2,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,4,4,6,,4,,,,4,8,7,1,,,,,,,,,,,,,,
Bugis,,,,,,,,,,,,,,,6,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,2,,2,,1,,1,,,,,1,,2,1,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,21,,,11,,,,,,7,4,,,,,,,,,,,,,,
Buli (Indonesian),,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubukusu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,3,2,3,4,2,1,1,2,,,,1,3,1,,,,,1,1,,,,,,,,,2,,,,,,,2,,,2,1,,,,,,,,,,1,2,,1,3,9,,7,5,1,,4,,,,,,3,1,,1,1,2,3,2,1,4,1,2,,,,3,3,1,1,1,2,,3,2,1,2,3,1,1,1,1,,1,,,,,1,3,1,1,4,4,3,,,,2,,,,,3,,,,,,,,2,,,1,1,,2,2,1,,1,1,2,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Buma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,2,,2,2,2,2,2,1,,1,,,,,,6,2,1,4,4,4,,,,2,,,,1,,,,,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,4,4,6,,4,,,,4,8,7,1,,,,,,,,,,,,,,
Buin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Burushaski,5,2,5,4,2,4,1,2,2,1,,1,3,1,1,7,6,1,1,1,1,1,1,5,3,3,3,2,3,,3,2,4,2,2,2,6,4,,2,,3,,3,2,3,3,3,1,1,1,3,7,3,1,2,6,2,1,,1,1,1,3,,,1,1,1,1,1,1,3,2,1,1,4,2,,2,,1,1,3,5,2,1,,1,1,,1,1,1,1,1,2,1,,,,,,1,6,2,5,1,1,1,4,4,6,2,5,2,3,1,2,1,3,4,3,4,,2,1,1,7,,2,2,2,2,1,1,4,,,3,3,1,1,2,2,,2,,,,,1,1,1,2,1,,,,,3,,,,2,4,4,20,,,,,,,,,,,5,,,,4,4,2,11,,,,,,
Busa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,1,5,1,1,2,,2,1,,1,,,,,,2,,,1,2,2,,,,1,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,4,8,4,,,,,,,,,,4,,,,4,4,8,1,,,,,,
